adjective;Frame_realisation;Frame_frequency
nomade;SUJ:NP;2
doux;SUJ:NP;1
intelligent;SUJ:NP;1
rémunérateur;SUJ:NP;7
digne;SUJ:NP;1
digne;SUJ:NP,P-OBJ:PP[de];2
simplificateur;SUJ:NP;1
avenu;SUJ:NP;1
voilé;SUJ:NP;3
robusta;SUJ:NP;1
frugal;SUJ:NP;1
infructueux;SUJ:NP;3
réduit;SUJ:NP;12
réduit;SUJ:NP,P-OBJ:PP[à];1
réduit;SUJ:NP,P-OBJ:PP[loc];1
courte;SUJ:NP;1
réactif;SUJ:NP;1
cahotant;SUJ:NP;1
inédit;SUJ:NP;3
d'antan;SUJ:NP;1
horaire;SUJ:NP;3
gigantesque;SUJ:NP;4
sacrifié;SUJ:NP;1
inespéré;SUJ:NP;3
